"participant","sex","age","music_yrs","block","trial_n","stim","stim_idx","trial_rep_n","resp","RT","dB_ratio"
"2","f",28,7,2,20,"yl10.wav",10,2,1,1.314,48
"2","f",28,7,2,21,"yl4.wav",4,2,0,1.2228,-24
"2","f",28,7,2,22,"yl11.wav",11,2,1,1.2597,60
"2","f",28,7,3,1,"yl1.wav",1,1,0,1.2708,-60
"2","f",28,7,3,2,"yl7.wav",7,1,1,1.1593,12
"2","f",28,7,3,3,"yl11.wav",11,1,1,0.6615,60
"2","f",28,7,3,4,"yl4.wav",4,1,0,1.111,-24
"2","f",28,7,3,5,"yl10.wav",10,1,1,1.2932,48
"2","f",28,7,3,6,"yl2.wav",2,1,0,1.2597,-48
"2","f",28,7,3,7,"yl6.wav",6,1,0,0.8797,0
"2","f",28,7,3,8,"yl9.wav",9,1,1,1.2629,36
"2","f",28,7,3,9,"yl3.wav",3,1,0,1.6589,-36
"2","f",28,7,3,10,"yl5.wav",5,1,0,16.4559,-12
"2","f",28,7,3,11,"yl8.wav",8,1,1,1.3172,24
"2","f",28,7,3,12,"yl9.wav",9,2,1,0.9639,36
"2","f",28,7,3,13,"yl2.wav",2,2,0,1.333,-48
"2","f",28,7,3,14,"yl8.wav",8,2,1,1.4259,24
"2","f",28,7,3,15,"yl1.wav",1,2,0,1.1413,-60
"2","f",28,7,3,16,"yl4.wav",4,2,0,0.7896,-24
"2","f",28,7,3,17,"yl7.wav",7,2,1,1.4947,12
"2","f",28,7,3,18,"yl10.wav",10,2,1,0.8429,48
"2","f",28,7,3,19,"yl11.wav",11,2,1,0.7109,60
"1101","f",21,3,1,1,"yl6.wav",6,1,0,1.618,0
"1101","f",21,3,1,2,"yl2.wav",2,1,0,1.244,-48
"1101","f",21,3,1,3,"yl1.wav",1,1,0,1.278,-60
"1101","f",21,3,1,4,"yl8.wav",8,1,1,1.907,24
"1101","f",21,3,1,5,"yl11.wav",11,1,1,1.051,60
"1101","f",21,3,1,6,"yl5.wav",5,1,0,1.549,-12
"1101","f",21,3,1,7,"yl10.wav",10,1,1,1.587,48
"1101","f",21,3,1,8,"yl4.wav",4,1,0,1.614,-24
"1101","f",21,3,1,9,"yl3.wav",3,1,0,1.105,-36
"1101","f",21,3,1,10,"yl9.wav",9,1,1,1.541,36
"1101","f",21,3,1,11,"yl7.wav",7,1,1,1.052,12
"1101","f",21,3,1,12,"yl8.wav",8,2,1,1.194,24
"1101","f",21,3,1,13,"yl2.wav",2,2,0,1.591,-48
"1101","f",21,3,1,14,"yl4.wav",4,2,0,1.081,-24
"1101","f",21,3,1,15,"yl9.wav",9,2,1,1.557,36
"1101","f",21,3,1,16,"yl7.wav",7,2,1,3.802,12
"1101","f",21,3,1,17,"yl5.wav",5,2,0,1.549,-12
"1101","f",21,3,1,18,"yl6.wav",6,2,0,2.017,0
